trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
T000041,15:50:00,15:50:00,s3,1,0,1,0
T000041,16:10:00,16:10:00,s2,2,1,0,0
T000042,16:10:00,16:10:00,s3,1,0,1,0
T000042,16:30:00,16:30:00,s2,2,1,0,0
T000043,16:20:00,16:20:00,s3,1,0,1,0
T000043,16:40:00,16:40:00,s2,2,1,0,0
T000044,16:30:00,16:30:00,s3,1,0,1,0
T000044,16:50:00,16:50:00,s2,2,1,0,0
T000045,16:40:00,16:40:00,s3,1,0,1,0
T000045,17:00:00,17:00:00,s2,2,1,0,0
T000046,16:50:00,16:50:00,s3,1,0,1,0
T000046,17:10:00,17:10:00,s2,2,1,0,0
T000047,17:00:00,17:00:00,s3,1,0,1,0
T000047,17:20:00,17:20:00,s2,2,1,0,0
T000048,17:10:00,17:10:00,s3,1,0,1,0
T000048,17:30:00,17:30:00,s2,2,1,0,0
T000049,17:20:00,17:20:00,s3,1,0,1,0
T000049,17:40:00,17:40:00,s2,2,1,0,0
T000050,17:30:00,17:30:00,s3,1,0,1,0
T000050,17:50:00,17:50:00,s2,2,1,0,0
T000051,17:40:00,17:40:00,s3,1,0,1,0
T000051,18:00:00,18:00:00,s2,2,1,0,0
T000052,17:50:00,17:50:00,s3,1,0,1,0
T000052,18:10:00,18:10:00,s2,2,1,0,0
T000053,18:00:00,18:00:00,s3,1,0,1,0
T000053,18:20:00,18:20:00,s2,2,1,0,0
T000054,18:10:00,18:10:00,s3,1,0,1,0
T000054,18:30:00,18:30:00,s2,2,1,0,0
T000055,18:20:00,18:20:00,s3,1,0,1,0
T000055,18:40:00,18:40:00,s2,2,1,0,0
T000056,18:30:00,18:30:00,s3,1,0,1,0
T000056,18:50:00,18:50:00,s2,2,1,0,0
T000057,18:40:00,18:40:00,s3,1,0,1,0
T000057,19:00:00,19:00:00,s2,2,1,0,0
T000058,18:50:00,18:50:00,s3,1,0,1,0
T000058,19:10:00,19:10:00,s2,2,1,0,0
T000059,19:00:00,19:00:00,s3,1,0,1,0
T000059,19:20:00,19:20:00,s2,2,1,0,0
T000060,19:10:00,19:10:00,s3,1,0,1,0
T000060,19:30:00,19:30:00,s2,2,1,0,0
T000061,19:30:00,19:30:00,s3,1,0,1,0
T000061,19:50:00,19:50:00,s2,2,1,0,0
T000062,19:50:00,19:50:00,s3,1,0,1,0
T000062,20:10:00,20:10:00,s2,2,1,0,0
T000063,20:10:00,20:10:00,s3,1,0,1,0
T000063,20:30:00,20:30:00,s2,2,1,0,0
T000064,20:30:00,20:30:00,s3,1,0,1,0
T000064,20:50:00,20:50:00,s2,2,1,0,0
T000065,20:50:00,20:50:00,s3,1,0,1,0
T000065,21:10:00,21:10:00,s2,2,1,0,0
T000066,05:30:00,05:30:00,s3,1,0,1,0
T000066,05:50:00,05:50:00,s2,2,1,0,0
T000067,06:10:00,06:10:00,s3,1,0,1,0
T000067,06:30:00,06:30:00,s2,2,1,0,0
T000068,06:30:00,06:30:00,s3,1,0,1,0
T000068,06:50:00,06:50:00,s2,2,1,0,0
T000069,06:50:00,06:50:00,s3,1,0,1,0
T000069,07:10:00,07:10:00,s2,2,1,0,0
T000070,07:10:00,07:10:00,s3,1,0,1,0
T000070,07:30:00,07:30:00,s2,2,1,0,0
T000071,07:30:00,07:30:00,s3,1,0,1,0
T000071,07:50:00,07:50:00,s2,2,1,0,0
T000072,07:50:00,07:50:00,s3,1,0,1,0
T000072,08:10:00,08:10:00,s2,2,1,0,0
T000073,08:10:00,08:10:00,s3,1,0,1,0
T000073,08:30:00,08:30:00,s2,2,1,0,0
T000074,08:30:00,08:30:00,s3,1,0,1,0
T000074,08:50:00,08:50:00,s2,2,1,0,0
T000075,08:50:00,08:50:00,s3,1,0,1,0
T000075,09:10:00,09:10:00,s2,2,1,0,0
T000076,09:10:00,09:10:00,s3,1,0,1,0
T000076,09:30:00,09:30:00,s2,2,1,0,0
T000077,09:50:00,09:50:00,s3,1,0,1,0
T000077,10:10:00,10:10:00,s2,2,1,0,0
T000078,10:30:00,10:30:00,s3,1,0,1,0
T000078,10:50:00,10:50:00,s2,2,1,0,0
T000079,11:10:00,11:10:00,s3,1,0,1,0
T000079,11:30:00,11:30:00,s2,2,1,0,0
T000080,11:50:00,11:50:00,s3,1,0,1,0
T000080,12:10:00,12:10:00,s2,2,1,0,0
T000081,12:30:00,12:30:00,s3,1,0,1,0
T000081,12:50:00,12:50:00,s2,2,1,0,0
T000082,13:10:00,13:10:00,s3,1,0,1,0
T000082,13:30:00,13:30:00,s2,2,1,0,0
T000083,13:50:00,13:50:00,s3,1,0,1,0
T000083,14:10:00,14:10:00,s2,2,1,0,0
T000084,14:30:00,14:30:00,s3,1,0,1,0
T000084,14:50:00,14:50:00,s2,2,1,0,0
T000085,15:10:00,15:10:00,s3,1,0,1,0
T000085,15:30:00,15:30:00,s2,2,1,0,0
T000086,15:50:00,15:50:00,s3,1,0,1,0
T000086,16:10:00,16:10:00,s2,2,1,0,0
T000087,16:20:00,16:20:00,s3,1,0,1,0
T000087,16:40:00,16:40:00,s2,2,1,0,0
T000088,16:40:00,16:40:00,s3,1,0,1,0
T000088,17:00:00,17:00:00,s2,2,1,0,0
T000089,17:00:00,17:00:00,s3,1,0,1,0
T000089,17:20:00,17:20:00,s2,2,1,0,0
T000090,17:20:00,17:20:00,s3,1,0,1,0
T000090,17:40:00,17:40:00,s2,2,1,0,0
T000091,17:40:00,17:40:00,s3,1,0,1,0
T000091,18:00:00,18:00:00,s2,2,1,0,0
T000092,18:00:00,18:00:00,s3,1,0,1,0
T000092,18:20:00,18:20:00,s2,2,1,0,0
T000093,18:20:00,18:20:00,s3,1,0,1,0
T000093,18:40:00,18:40:00,s2,2,1,0,0
T000094,18:40:00,18:40:00,s3,1,0,1,0
T000094,19:00:00,19:00:00,s2,2,1,0,0
T000095,19:00:00,19:00:00,s3,1,0,1,0
T000095,19:20:00,19:20:00,s2,2,1,0,0
T000096,19:30:00,19:30:00,s3,1,0,1,0
T000096,19:50:00,19:50:00,s2,2,1,0,0
T000097,20:10:00,20:10:00,s3,1,0,1,0
T000097,20:30:00,20:30:00,s2,2,1,0,0
T000098,20:50:00,20:50:00,s3,1,0,1,0
T000098,21:10:00,21:10:00,s2,2,1,0,0
T000099,05:30:00,05:30:00,s3,1,0,1,0
T000099,05:50:00,05:50:00,s2,2,1,0,0
T000100,06:20:00,06:20:00,s3,1,0,1,0
T000100,06:40:00,06:40:00,s2,2,1,0,0
T000101,06:50:00,06:50:00,s3,1,0,1,0
T000101,07:10:00,07:10:00,s2,2,1,0,0
T000102,07:20:00,07:20:00,s3,1,0,1,0
T000102,07:40:00,07:40:00,s2,2,1,0,0
T000103,07:50:00,07:50:00,s3,1,0,1,0
T000103,08:10:00,08:10:00,s2,2,1,0,0
T000104,08:20:00,08:20:00,s3,1,0,1,0
T000104,08:40:00,08:40:00,s2,2,1,0,0
T000105,08:50:00,08:50:00,s3,1,0,1,0
T000105,09:10:00,09:10:00,s2,2,1,0,0
T000106,09:30:00,09:30:00,s3,1,0,1,0
T000106,09:50:00,09:50:00,s2,2,1,0,0
T000107,10:30:00,10:30:00,s3,1,0,1,0
T000107,10:50:00,10:50:00,s2,2,1,0,0
T000108,11:30:00,11:30:00,s3,1,0,1,0
T000108,11:50:00,11:50:00,s2,2,1,0,0
T000109,12:30:00,12:30:00,s3,1,0,1,0
T000109,12:50:00,12:50:00,s2,2,1,0,0
T000110,13:30:00,13:30:00,s3,1,0,1,0
T000110,13:50:00,13:50:00,s2,2,1,0,0
T000111,14:30:00,14:30:00,s3,1,0,1,0
T000111,14:50:00,14:50:00,s2,2,1,0,0
T000112,15:30:00,15:30:00,s3,1,0,1,0
T000112,15:50:00,15:50:00,s2,2,1,0,0
T000113,16:20:00,16:20:00,s3,1,0,1,0
T000113,16:40:00,16:40:00,s2,2,1,0,0
T000114,16:50:00,16:50:00,s3,1,0,1,0
T000114,17:10:00,17:10:00,s2,2,1,0,0
T000115,17:20:00,17:20:00,s3,1,0,1,0
T000115,17:40:00,17:40:00,s2,2,1,0,0
T000116,17:50:00,17:50:00,s3,1,0,1,0
T000116,18:10:00,18:10:00,s2,2,1,0,0
T000117,18:20:00,18:20:00,s3,1,0,1,0
T000117,18:40:00,18:40:00,s2,2,1,0,0
T000118,18:50:00,18:50:00,s3,1,0,1,0
T000118,19:10:00,19:10:00,s2,2,1,0,0
T000119,19:30:00,19:30:00,s3,1,0,1,0
T000119,19:50:00,19:50:00,s2,2,1,0,0
T000120,20:30:00,20:30:00,s3,1,0,1,0
T000120,20:50:00,20:50:00,s2,2,1,0,0
T000121,05:30:00,05:30:00,s19,1,0,1,0
T000121,05:38:00,05:38:00,s3,2,0,0,0
T000121,05:58:00,05:58:00,s1,3,1,0,0
T000122,05:50:00,05:50:00,s19,1,0,1,0
T000122,05:58:00,05:58:00,s3,2,0,0,0
T000122,06:18:00,06:18:00,s1,3,1,0,0
T000123,06:10:00,06:10:00,s19,1,0,1,0
T000123,06:18:00,06:18:00,s3,2,0,0,0
T000123,06:38:00,06:38:00,s1,3,1,0,0
T000124,06:20:00,06:20:00,s19,1,0,1,0
T000124,06:28:00,06:28:00,s3,2,0,0,0
T000124,06:48:00,06:48:00,s1,3,1,0,0
T000125,06:30:00,06:30:00,s19,1,0,1,0
T000125,06:38:00,06:38:00,s3,2,0,0,0
T000125,06:58:00,06:58:00,s1,3,1,0,0
T000126,06:40:00,06:40:00,s19,1,0,1,0
T000126,06:48:00,06:48:00,s3,2,0,0,0
T000126,07:08:00,07:08:00,s1,3,1,0,0
T000127,06:50:00,06:50:00,s19,1,0,1,0
T000127,06:58:00,06:58:00,s3,2,0,0,0
T000127,07:18:00,07:18:00,s1,3,1,0,0
T000128,07:00:00,07:00:00,s19,1,0,1,0
T000128,07:08:00,07:08:00,s3,2,0,0,0
T000128,07:28:00,07:28:00,s1,3,1,0,0
T000129,07:10:00,07:10:00,s19,1,0,1,0
T000129,07:18:00,07:18:00,s3,2,0,0,0
T000129,07:38:00,07:38:00,s1,3,1,0,0
T000130,07:20:00,07:20:00,s19,1,0,1,0
T000130,07:28:00,07:28:00,s3,2,0,0,0
T000130,07:48:00,07:48:00,s1,3,1,0,0
T000131,07:30:00,07:30:00,s19,1,0,1,0
T000131,07:38:00,07:38:00,s3,2,0,0,0
T000131,07:58:00,07:58:00,s1,3,1,0,0
T000132,07:40:00,07:40:00,s19,1,0,1,0
T000132,07:48:00,07:48:00,s3,2,0,0,0
T000132,08:08:00,08:08:00,s1,3,1,0,0
T000133,07:50:00,07:50:00,s19,1,0,1,0
T000133,07:58:00,07:58:00,s3,2,0,0,0
T000133,08:18:00,08:18:00,s1,3,1,0,0
T000134,08:00:00,08:00:00,s19,1,0,1,0
T000134,08:08:00,08:08:00,s3,2,0,0,0
T000134,08:28:00,08:28:00,s1,3,1,0,0
T000135,08:10:00,08:10:00,s19,1,0,1,0
T000135,08:18:00,08:18:00,s3,2,0,0,0
T000135,08:38:00,08:38:00,s1,3,1,0,0
T000136,08:20:00,08:20:00,s19,1,0,1,0
T000136,08:28:00,08:28:00,s3,2,0,0,0
T000136,08:48:00,08:48:00,s1,3,1,0,0
T000137,08:30:00,08:30:00,s19,1,0,1,0
T000137,08:38:00,08:38:00,s3,2,0,0,0
T000137,08:58:00,08:58:00,s1,3,1,0,0
T000138,08:40:00,08:40:00,s19,1,0,1,0
T000138,08:48:00,08:48:00,s3,2,0,0,0
T000138,09:08:00,09:08:00,s1,3,1,0,0
T000139,08:50:00,08:50:00,s19,1,0,1,0
T000139,08:58:00,08:58:00,s3,2,0,0,0
T000139,09:18:00,09:18:00,s1,3,1,0,0
T000140,09:00:00,09:00:00,s19,1,0,1,0
T000140,09:08:00,09:08:00,s3,2,0,0,0
T000140,09:28:00,09:28:00,s1,3,1,0,0
T000141,09:10:00,09:10:00,s19,1,0,1,0
T000141,09:18:00,09:18:00,s3,2,0,0,0
T000141,09:38:00,09:38:00,s1,3,1,0,0
T000142,09:30:00,09:30:00,s19,1,0,1,0
T000142,09:38:00,09:38:00,s3,2,0,0,0
T000142,09:58:00,09:58:00,s1,3,1,0,0
T000143,09:50:00,09:50:00,s19,1,0,1,0
T000143,09:58:00,09:58:00,s3,2,0,0,0
T000143,10:18:00,10:18:00,s1,3,1,0,0
T000144,10:10:00,10:10:00,s19,1,0,1,0
T000144,10:18:00,10:18:00,s3,2,0,0,0
T000144,10:38:00,10:38:00,s1,3,1,0,0
T000145,10:30:00,10:30:00,s19,1,0,1,0
T000145,10:38:00,10:38:00,s3,2,0,0,0
T000145,10:58:00,10:58:00,s1,3,1,0,0
T000146,10:50:00,10:50:00,s19,1,0,1,0
T000146,10:58:00,10:58:00,s3,2,0,0,0
T000146,11:18:00,11:18:00,s1,3,1,0,0
T000147,11:10:00,11:10:00,s19,1,0,1,0
T000147,11:18:00,11:18:00,s3,2,0,0,0
T000147,11:38:00,11:38:00,s1,3,1,0,0
T000148,11:30:00,11:30:00,s19,1,0,1,0
T000148,11:38:00,11:38:00,s3,2,0,0,0
T000148,11:58:00,11:58:00,s1,3,1,0,0
T000149,11:50:00,11:50:00,s19,1,0,1,0
T000149,11:58:00,11:58:00,s3,2,0,0,0
T000149,12:18:00,12:18:00,s1,3,1,0,0
T000150,12:10:00,12:10:00,s19,1,0,1,0
T000150,12:18:00,12:18:00,s3,2,0,0,0
T000150,12:38:00,12:38:00,s1,3,1,0,0
T000151,12:30:00,12:30:00,s19,1,0,1,0
T000151,12:38:00,12:38:00,s3,2,0,0,0
T000151,12:58:00,12:58:00,s1,3,1,0,0
T000152,12:50:00,12:50:00,s19,1,0,1,0
T000152,12:58:00,12:58:00,s3,2,0,0,0
T000152,13:18:00,13:18:00,s1,3,1,0,0
T000153,13:10:00,13:10:00,s19,1,0,1,0
T000153,13:18:00,13:18:00,s3,2,0,0,0
T000153,13:38:00,13:38:00,s1,3,1,0,0
T000154,13:30:00,13:30:00,s19,1,0,1,0
T000154,13:38:00,13:38:00,s3,2,0,0,0
T000154,13:58:00,13:58:00,s1,3,1,0,0
T000155,13:50:00,13:50:00,s19,1,0,1,0
T000155,13:58:00,13:58:00,s3,2,0,0,0
T000155,14:18:00,14:18:00,s1,3,1,0,0
T000156,14:10:00,14:10:00,s19,1,0,1,0
T000156,14:18:00,14:18:00,s3,2,0,0,0
T000156,14:38:00,14:38:00,s1,3,1,0,0
T000157,14:30:00,14:30:00,s19,1,0,1,0
T000157,14:38:00,14:38:00,s3,2,0,0,0
T000157,14:58:00,14:58:00,s1,3,1,0,0
T000158,14:50:00,14:50:00,s19,1,0,1,0
T000158,14:58:00,14:58:00,s3,2,0,0,0
T000158,15:18:00,15:18:00,s1,3,1,0,0
T000159,15:10:00,15:10:00,s19,1,0,1,0
T000159,15:18:00,15:18:00,s3,2,0,0,0
T000159,15:38:00,15:38:00,s1,3,1,0,0
T000160,15:30:00,15:30:00,s19,1,0,1,0
T000160,15:38:00,15:38:00,s3,2,0,0,0
T000160,15:58:00,15:58:00,s1,3,1,0,0
T000161,15:50:00,15:50:00,s19,1,0,1,0
T000161,15:58:00,15:58:00,s3,2,0,0,0
T000161,16:18:00,16:18:00,s1,3,1,0,0
T000162,16:10:00,16:10:00,s19,1,0,1,0
T000162,16:18:00,16:18:00,s3,2,0,0,0
T000162,16:38:00,16:38:00,s1,3,1,0,0
T000163,16:20:00,16:20:00,s19,1,0,1,0
T000163,16:28:00,16:28:00,s3,2,0,0,0
T000163,16:48:00,16:48:00,s1,3,1,0,0
T000164,16:30:00,16:30:00,s19,1,0,1,0
T000164,16:38:00,16:38:00,s3,2,0,0,0
T000164,16:58:00,16:58:00,s1,3,1,0,0
T000165,16:40:00,16:40:00,s19,1,0,1,0
T000165,16:48:00,16:48:00,s3,2,0,0,0
T000165,17:08:00,17:08:00,s1,3,1,0,0
T000166,16:50:00,16:50:00,s19,1,0,1,0
T000166,16:58:00,16:58:00,s3,2,0,0,0
T000166,17:18:00,17:18:00,s1,3,1,0,0
T000167,17:00:00,17:00:00,s19,1,0,1,0
T000167,17:08:00,17:08:00,s3,2,0,0,0
T000167,17:28:00,17:28:00,s1,3,1,0,0
T000168,17:10:00,17:10:00,s19,1,0,1,0
T000168,17:18:00,17:18:00,s3,2,0,0,0
T000168,17:38:00,17:38:00,s1,3,1,0,0
T000169,17:20:00,17:20:00,s19,1,0,1,0
T000169,17:28:00,17:28:00,s3,2,0,0,0
T000169,17:48:00,17:48:00,s1,3,1,0,0
T000170,17:30:00,17:30:00,s19,1,0,1,0
T000170,17:38:00,17:38:00,s3,2,0,0,0
T000170,17:58:00,17:58:00,s1,3,1,0,0
T000171,17:40:00,17:40:00,s19,1,0,1,0
T000171,17:48:00,17:48:00,s3,2,0,0,0
T000171,18:08:00,18:08:00,s1,3,1,0,0
T000172,17:50:00,17:50:00,s19,1,0,1,0
T000172,17:58:00,17:58:00,s3,2,0,0,0
T000172,18:18:00,18:18:00,s1,3,1,0,0
T000173,18:00:00,18:00:00,s19,1,0,1,0
T000173,18:08:00,18:08:00,s3,2,0,0,0
T000173,18:28:00,18:28:00,s1,3,1,0,0
T000174,18:10:00,18:10:00,s19,1,0,1,0
T000174,18:18:00,18:18:00,s3,2,0,0,0
T000174,18:38:00,18:38:00,s1,3,1,0,0
T000175,18:20:00,18:20:00,s19,1,0,1,0
T000175,18:28:00,18:28:00,s3,2,0,0,0
T000175,18:48:00,18:48:00,s1,3,1,0,0
T000176,18:30:00,18:30:00,s19,1,0,1,0
T000176,18:38:00,18:38:00,s3,2,0,0,0
T000176,18:58:00,18:58:00,s1,3,1,0,0
T000177,18:40:00,18:40:00,s19,1,0,1,0
T000177,18:48:00,18:48:00,s3,2,0,0,0
T000177,19:08:00,19:08:00,s1,3,1,0,0
T000178,18:50:00,18:50:00,s19,1,0,1,0
T000178,18:58:00,18:58:00,s3,2,0,0,0
T000178,19:18:00,19:18:00,s1,3,1,0,0
T000179,19:00:00,19:00:00,s19,1,0,1,0
T000179,19:08:00,19:08:00,s3,2,0,0,0
T000179,19:28:00,19:28:00,s1,3,1,0,0
T000180,19:10:00,19:10:00,s19,1,0,1,0
T000180,19:18:00,19:18:00,s3,2,0,0,0
T000180,19:38:00,19:38:00,s1,3,1,0,0
T000181,19:30:00,19:30:00,s19,1,0,1,0
T000181,19:38:00,19:38:00,s3,2,0,0,0
T000181,19:58:00,19:58:00,s1,3,1,0,0
T000182,19:50:00,19:50:00,s19,1,0,1,0
T000182,19:58:00,19:58:00,s3,2,0,0,0
T000182,20:18:00,20:18:00,s1,3,1,0,0
T000183,20:10:00,20:10:00,s19,1,0,1,0
T000183,20:18:00,20:18:00,s3,2,0,0,0
T000183,20:38:00,20:38:00,s1,3,1,0,0
T000184,20:30:00,20:30:00,s19,1,0,1,0
T000184,20:38:00,20:38:00,s3,2,0,0,0
T000184,20:58:00,20:58:00,s1,3,1,0,0
T000185,20:50:00,20:50:00,s19,1,0,1,0
T000185,20:58:00,20:58:00,s3,2,0,0,0
T000185,21:18:00,21:18:00,s1,3,1,0,0
T000186,05:30:00,05:30:00,s19,1,0,1,0
T000186,05:38:00,05:38:00,s3,2,0,0,0
T000186,05:58:00,05:58:00,s1,3,1,0,0
T000187,06:10:00,06:10:00,s19,1,0,1,0
T000187,06:18:00,06:18:00,s3,2,0,0,0
T000187,06:38:00,06:38:00,s1,3,1,0,0
T000188,06:30:00,06:30:00,s19,1,0,1,0
T000188,06:38:00,06:38:00,s3,2,0,0,0
T000188,06:58:00,06:58:00,s1,3,1,0,0
T000189,06:50:00,06:50:00,s19,1,0,1,0
T000189,06:58:00,06:58:00,s3,2,0,0,0
T000189,07:18:00,07:18:00,s1,3,1,0,0
T000190,07:10:00,07:10:00,s19,1,0,1,0
T000190,07:18:00,07:18:00,s3,2,0,0,0
T000190,07:38:00,07:38:00,s1,3,1,0,0
T000191,07:30:00,07:30:00,s19,1,0,1,0
T000191,07:38:00,07:38:00,s3,2,0,0,0
T000191,07:58:00,07:58:00,s1,3,1,0,0
T000192,07:50:00,07:50:00,s19,1,0,1,0
T000192,07:58:00,07:58:00,s3,2,0,0,0
T000192,08:18:00,08:18:00,s1,3,1,0,0
T000193,08:10:00,08:10:00,s19,1,0,1,0
T000193,08:18:00,08:18:00,s3,2,0,0,0
T000193,08:38:00,08:38:00,s1,3,1,0,0
T000194,08:30:00,08:30:00,s19,1,0,1,0
T000194,08:38:00,08:38:00,s3,2,0,0,0
T000194,08:58:00,08:58:00,s1,3,1,0,0
T000195,08:50:00,08:50:00,s19,1,0,1,0
T000195,08:58:00,08:58:00,s3,2,0,0,0
T000195,09:18:00,09:18:00,s1,3,1,0,0
T000196,09:10:00,09:10:00,s19,1,0,1,0
T000196,09:18:00,09:18:00,s3,2,0,0,0
T000196,09:38:00,09:38:00,s1,3,1,0,0
T000197,09:50:00,09:50:00,s19,1,0,1,0
T000197,09:58:00,09:58:00,s3,2,0,0,0
T000197,10:18:00,10:18:00,s1,3,1,0,0
T000198,10:30:00,10:30:00,s19,1,0,1,0
T000198,10:38:00,10:38:00,s3,2,0,0,0
T000198,10:58:00,10:58:00,s1,3,1,0,0
T000199,11:10:00,11:10:00,s19,1,0,1,0
T000199,11:18:00,11:18:00,s3,2,0,0,0
T000199,11:38:00,11:38:00,s1,3,1,0,0
T000200,11:50:00,11:50:00,s19,1,0,1,0
T000200,11:58:00,11:58:00,s3,2,0,0,0
T000200,12:18:00,12:18:00,s1,3,1,0,0
T000201,12:30:00,12:30:00,s19,1,0,1,0
T000201,12:38:00,12:38:00,s3,2,0,0,0
T000201,12:58:00,12:58:00,s1,3,1,0,0
T000202,13:10:00,13:10:00,s19,1,0,1,0
T000202,13:18:00,13:18:00,s3,2,0,0,0
T000202,13:38:00,13:38:00,s1,3,1,0,0
T000203,13:50:00,13:50:00,s19,1,0,1,0
T000203,13:58:00,13:58:00,s3,2,0,0,0
T000203,14:18:00,14:18:00,s1,3,1,0,0
T000204,14:30:00,14:30:00,s19,1,0,1,0
T000204,14:38:00,14:38:00,s3,2,0,0,0
T000204,14:58:00,14:58:00,s1,3,1,0,0
T000205,15:10:00,15:10:00,s19,1,0,1,0
T000205,15:18:00,15:18:00,s3,2,0,0,0
T000205,15:38:00,15:38:00,s1,3,1,0,0
T000206,15:50:00,15:50:00,s19,1,0,1,0
T000206,15:58:00,15:58:00,s3,2,0,0,0
T000206,16:18:00,16:18:00,s1,3,1,0,0
T000207,16:20:00,16:20:00,s19,1,0,1,0
T000207,16:28:00,16:28:00,s3,2,0,0,0
T000207,16:48:00,16:48:00,s1,3,1,0,0
T000208,16:40:00,16:40:00,s19,1,0,1,0
T000208,16:48:00,16:48:00,s3,2,0,0,0
T000208,17:08:00,17:08:00,s1,3,1,0,0
T000209,17:00:00,17:00:00,s19,1,0,1,0
T000209,17:08:00,17:08:00,s3,2,0,0,0
T000209,17:28:00,17:28:00,s1,3,1,0,0
T000210,17:20:00,17:20:00,s19,1,0,1,0
T000210,17:28:00,17:28:00,s3,2,0,0,0
T000210,17:48:00,17:48:00,s1,3,1,0,0
T000211,17:40:00,17:40:00,s19,1,0,1,0
T000211,17:48:00,17:48:00,s3,2,0,0,0
T000211,18:08:00,18:08:00,s1,3,1,0,0
T000212,18:00:00,18:00:00,s19,1,0,1,0
T000212,18:08:00,18:08:00,s3,2,0,0,0
